,mal_id,title_english,popularity,score,rating,genres,studios,themes,demographics,synopsis,neighbor,cluster,images_url
13,4181,Clannad: After Story,108,8.94,PG-13 - Teens 13 or older,"['Drama', 'Romance', 'Supernatural']",Kyoto Animation,[],[],"['time', 'ushio', 'year', 'story', 'life', 'world', 'father', 'girl', 'nagisa', 'tomoya']","[380, 607, 854, 301, 294, 658, 177, 337, 267, 655, 769, 520, 740, 263, 427, 604, 417, 595, 577, 468, 325, 677, 517, 756, 513, 147, 308, 799, 680, 764, 307, 518, 838, 613, 213, 701, 201, 463, 848, 155, 361, 47, 719, 534, 565, 100, 669, 428]",8,https://cdn.myanimelist.net/images/anime/1299/110774.jpg
14,2904,Code Geass: Lelouch of the Rebellion R2,47,8.91,R - 17+ (violence & profanity),"['Action', 'Drama', 'Sci-Fi']",Sunrise,"['Mecha', 'Military', 'Super Power']",[],"['japanese', 'vi', 'known', 'world', 'nunnally', 'power', 'japan', 'mother', 'britannia', 'lelouch']","[35, 165, 286, 245, 266, 179, 830, 29, 491, 37, 494, 435, 734, 473, 551, 538, 645, 742, 780, 420, 366, 379, 593, 510, 446, 557, 844, 409, 395, 243, 335, 562, 771, 682]",23,https://cdn.myanimelist.net/images/anime/4/9391.jpg
15,37491,Gintama.: Silver Soul Arc - Second Half War,1183,8.89,PG-13 - Teens 13 or older,"['Action', 'Comedy', 'Sci-Fi']",Bandai Namco Pictures,"['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen,"['combat', 'stop', 'mother', 'liberation', 'edo', 'gengai', 'war', 'district', 'rest', 'army']","[6, 7, 21, 10, 77, 12, 4]",32,https://cdn.myanimelist.net/images/anime/1776/96566.jpg
16,35247,Owarimonogatari Second Season,547,8.89,R - 17+ (violence & profanity),"['Comedy', 'Mystery', 'Supernatural']",Shaft,Vampire,[],"['deserted', 'place', 'high', 'answers', 'school', 'eccentric', 'unfamiliar', 'mystery', 'student', 'araragi']","[94, 27, 131, 750, 297, 832, 749, 712, 351, 779, 487, 222, 641, 342, 248, 358, 786, 444, 467, 514, 763, 227, 278, 773, 438, 194, 180, 597, 781]",0,https://cdn.myanimelist.net/images/anime/6/87322.jpg
17,19,Monster,149,8.85,R+ - Mild Nudity,"['Drama', 'Mystery', 'Suspense']",Madhouse,"['Adult Cast', 'Psychological']",Seinen,"['instead', 'switch', 'doctors', 'life', 'surgery', 'perform', 'director', 'hospital', 'tenma', 'dr']","[89, 439, 619, 279, 343, 150, 71, 317, 457, 205, 437, 225, 732, 587, 527, 134, 390, 563, 721, 474, 741, 106, 592, 469, 226, 384, 464, 692, 596, 695]",20,https://cdn.myanimelist.net/images/anime/10/18793.jpg
18,44511,Chainsaw Man,160,8.83,R - 17+ (violence & profanity),"['Action', 'Fantasy']",MAPPA,Gore,Shounen,"['gun', 'yoru', 'pochita', 'hunter', 'chainsaw', 'asa', 'man', 'makima', 'denji', 'devil']","[803, 110, 72, 19, 82, 97, 703, 253, 58, 387, 618, 687, 174, 638, 447, 564, 0, 336, 283, 115, 583, 772, 241, 788, 46, 558, 269, 554, 344, 87, 784, 631, 746, 525, 450, 375, 188, 281, 858, 610, 608]",21,https://cdn.myanimelist.net/images/anime/1806/126216.jpg
19,47778,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc,120,8.83,R - 17+ (violence & profanity),"['Action', 'Fantasy']",ufotable,Historical,Shounen,"['despite', 'spouses', 'kamado', 'case', 'train', 'zenitsu', 'rank', 'tengen', 'district', 'demon']","[72, 110, 803, 18, 82, 703, 97, 58, 253, 387, 638, 447, 174, 618, 564, 687, 0, 583, 241, 772, 336, 283, 115, 269, 554, 788, 46, 558, 344, 784, 87, 631, 746, 525, 450, 375, 188, 281, 858, 610, 608]",21,https://cdn.myanimelist.net/images/anime/1908/120036.jpg
20,40682,Kingdom: Season 3,2077,8.82,R - 17+ (violence & profanity),Action,"['Pierrot', 'Studio Signpost']","['Historical', 'Military']",Seinen,"['episodes', 'plot', 'cornwell', 'covers', 'ragnar', 'novels', 'netflix', 'season', 'uhtred', 'series']","[126, 353, 28, 208, 291, 777, 123, 456, 650, 506, 80, 141, 101, 404, 175, 90, 791, 78, 588, 359, 170, 775, 159, 445, 373, 601, 65, 768]",18,https://cdn.myanimelist.net/images/anime/1443/111830.jpg
21,36838,Gintama.: Silver Soul Arc,1089,8.81,PG-13 - Teens 13 or older,"['Action', 'Comedy', 'Sci-Fi']",Bandai Namco Pictures,"['Gag Humor', 'Historical', 'Parody', 'Samurai']",Shounen,"['plan', 'written', 'goal', 'altana', 'battle', 'tendoshuu', 'edo', 'army', 'liberation', 'utsuro']","[77, 10, 15, 4, 6, 7, 12]",32,https://cdn.myanimelist.net/images/anime/12/89603.jpg
22,37510,Mob Psycho 100 II,78,8.81,PG-13 - Teens 13 or older,"['Action', 'Comedy', 'Supernatural']",Bones,Super Power,[],"['order', 'coming', 'spirit', 'limits', 'little', 'life', 'control', 'like', 'power', 'mob']","[48, 88, 36, 149, 30, 45, 57]",2,https://cdn.myanimelist.net/images/anime/1918/96303.jpg
